duracion_estadia,gasto_total_pesos,motivo,alojamiento
3.0,3000000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
5.0,3000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
5.0,1500000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,8000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
6.0,5000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
2.0,3000000.0,h. Trabajo remunerado en otra ciudad,a. Hotel 
4.0,7000000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
3.0,4000000.0,a. Vacaciones/recreación/Ocio ,d. Inmueble de alquiler (pagos por plataforma dig)
4.0,350000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
3.0,250000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
7.0,200000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
2.0,200000.0,b. Visita a familiares y amigos,d. Inmueble de alquiler (pagos por plataforma dig)
3.0,200000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
2.0,500000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,550000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,400000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,4000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
5.0,20000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
4.0,800000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,450000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
3.0,3000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
8.0,50.0,h. Trabajo remunerado en otra ciudad,a. Hotel 
7.0,1000000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,320000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
20.0,2500000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
2.0,200000.0,h. Trabajo remunerado en otra ciudad,"e. Casa propia, de familiares o amigos (sin pago)"
5.0,200000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,5000000.0,g. Negocios y motivos profesionales,a. Hotel 
3.0,450000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
3.0,200000.0,h. Trabajo remunerado en otra ciudad,a. Hotel 
15.0,500000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
10.0,200000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
15.0,500000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
3.0,2000000.0,a. Vacaciones/recreación/Ocio ,c. Apartahotel
6.0,1000000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
2.0,100000.0,i. Otro.,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,600000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
1.0,50000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
3.0,800000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,1000000.0,a. Vacaciones/recreación/Ocio ,"e. Casa propia, de familiares o amigos (sin pago)"
3.0,2000000.0,h. Trabajo remunerado en otra ciudad,a. Hotel 
3.0,200000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
1.0,100000.0,h. Trabajo remunerado en otra ciudad,a. Hotel 
4.0,200000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
5.0,200000.0,g. Negocios y motivos profesionales,"e. Casa propia, de familiares o amigos (sin pago)"
3.0,500000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
4.0,150000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,1000000.0,b. Visita a familiares y amigos,"e. Casa propia, de familiares o amigos (sin pago)"
4.0,5000000.0,a. Vacaciones/recreación/Ocio ,a. Hotel 
